date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:53:53	63/63	---M--	200	added ('OK')	text/plain	date:Wed,%2005%20Jul%202017%2010:17:50%20GMT	http://florentpetitfrere.com/robots.txt		(from )
23:53:54	21806/21806	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2018:23:53%20GMT	http://florentpetitfrere.com/	E:/current%20projects/14th%20july/main%20site/florentpetitfrere.com/index.html	(from )
23:53:54	2486/2486	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Jul%202017%2010:17:50%20GMT	http://florentpetitfrere.com/fp_favicon.png	E:/current%20projects/14th%20july/main%20site/florentpetitfrere.com/fp_favicon.png	(from http://florentpetitfrere.com/)
23:53:55	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2029%20Mar%202022%2018:23:54%20GMT	http://florentpetitfrere.com/fp_apple-icon.png	E:/current%20projects/14th%20july/main%20site/florentpetitfrere.com/fp_apple-icon.1.delayed	(from http://florentpetitfrere.com/)
23:53:55	43792/43792	---M-Z	200	added ('OK')	text/css	date:Mon,%2008%20Jan%202018%2014:43:39%20GMT	http://florentpetitfrere.com/css/style.css	E:/current%20projects/14th%20july/main%20site/florentpetitfrere.com/css/style.css	(from http://florentpetitfrere.com/)
23:53:56	5847/5847	---M-Z	200	added ('OK')	text/css	date:Wed,%2005%20Jul%202017%2010:21:38%20GMT	http://florentpetitfrere.com/css/slider.css	E:/current%20projects/14th%20july/main%20site/florentpetitfrere.com/css/slider.css	(from http://florentpetitfrere.com/)
23:53:56	2878/2878	---M-Z	200	added ('OK')	text/css	date:Wed,%2005%20Jul%202017%2010:17:53%20GMT	http://florentpetitfrere.com/fonts/fonts.css	E:/current%20projects/14th%20july/main%20site/florentpetitfrere.com/fonts/fonts.css	(from http://florentpetitfrere.com/)
23:53:57	1835/1835	---M-Z	200	added ('OK')	text/css	date:Wed,%2005%20Jul%202017%2010:17:52%20GMT	http://florentpetitfrere.com/css/slick.css	E:/current%20projects/14th%20july/main%20site/florentpetitfrere.com/css/slick.css	(from http://florentpetitfrere.com/)
23:53:57	1850/1850	---M-Z	200	added ('OK')	text/css	date:Wed,%2005%20Jul%202017%2010:17:52%20GMT	http://florentpetitfrere.com/css/slick-theme.css	E:/current%20projects/14th%20july/main%20site/florentpetitfrere.com/css/slick-theme.css	(from http://florentpetitfrere.com/)
23:53:58	21806/21806	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2018:23:58%20GMT	http://florentpetitfrere.com/index.php	E:/current%20projects/14th%20july/main%20site/florentpetitfrere.com/index-2.html	(from http://florentpetitfrere.com/)
23:53:59	19464/19464	---MCZ	200	added ('OK')	text/html	date:Tue,%2029%20Mar%202022%2018:23:58%20GMT	http://florentpetitfrere.com/all.php	E:/current%20projects/14th%20july/main%20site/florentpetitfrere.com/all.html	(from http://florentpetitfrere.com/)
